Date,Open,High,Low,Close,Adj Close,Volume
2023-10-04,352.000000,356.000000,342.000000,348.000000,348.000000,18566200
2023-10-05,350.000000,350.000000,344.000000,346.000000,346.000000,9595800
2023-10-06,346.000000,352.000000,346.000000,348.000000,348.000000,6460800
2023-10-09,348.000000,352.000000,346.000000,348.000000,348.000000,8876800
2023-10-10,350.000000,350.000000,346.000000,346.000000,346.000000,8957300
2023-10-11,346.000000,350.000000,346.000000,348.000000,348.000000,7416600
2023-10-12,348.000000,350.000000,344.000000,346.000000,346.000000,11069600
2023-10-13,348.000000,348.000000,342.000000,344.000000,344.000000,7464300
2023-10-16,346.000000,348.000000,336.000000,338.000000,338.000000,15148400
2023-10-17,338.000000,342.000000,330.000000,334.000000,334.000000,17529900
2023-10-18,334.000000,336.000000,330.000000,332.000000,332.000000,8393800
2023-10-19,332.000000,334.000000,320.000000,320.000000,320.000000,20492600
2023-10-20,320.000000,322.000000,300.000000,310.000000,310.000000,28422600
2023-10-23,312.000000,312.000000,298.000000,302.000000,302.000000,20687500
2023-10-24,302.000000,310.000000,302.000000,310.000000,310.000000,12162000
2023-10-25,312.000000,320.000000,308.000000,310.000000,310.000000,10965400
2023-10-26,310.000000,312.000000,304.000000,306.000000,306.000000,8961300
2023-10-27,308.000000,314.000000,302.000000,312.000000,312.000000,7287300
2023-10-30,312.000000,316.000000,304.000000,308.000000,308.000000,7423900
2023-10-31,308.000000,308.000000,296.000000,302.000000,302.000000,11362800
2023-11-01,302.000000,302.000000,280.000000,284.000000,284.000000,31768100
2023-11-02,284.000000,298.000000,282.000000,290.000000,290.000000,11150800
2023-11-03,290.000000,296.000000,286.000000,290.000000,290.000000,7623700
2023-11-06,290.000000,298.000000,286.000000,292.000000,292.000000,7507700
2023-11-07,292.000000,296.000000,290.000000,292.000000,292.000000,5152400
2023-11-08,292.000000,294.000000,286.000000,292.000000,292.000000,5387900
2023-11-09,292.000000,292.000000,286.000000,290.000000,290.000000,3026000
2023-11-10,290.000000,290.000000,282.000000,284.000000,284.000000,4792600
2023-11-13,286.000000,288.000000,280.000000,284.000000,284.000000,7516400
2023-11-14,284.000000,288.000000,280.000000,284.000000,284.000000,4756900
2023-11-15,284.000000,288.000000,282.000000,286.000000,286.000000,9092600
2023-11-16,288.000000,314.000000,286.000000,306.000000,306.000000,36161800
2023-11-17,306.000000,308.000000,298.000000,298.000000,298.000000,9130000
2023-11-20,298.000000,304.000000,298.000000,300.000000,300.000000,6996100
2023-11-21,300.000000,304.000000,298.000000,300.000000,300.000000,6313300
2023-11-22,300.000000,302.000000,294.000000,296.000000,296.000000,6520400
2023-11-23,300.000000,300.000000,294.000000,296.000000,296.000000,5868200
2023-11-24,298.000000,298.000000,296.000000,296.000000,296.000000,2598000
2023-11-27,296.000000,304.000000,296.000000,296.000000,296.000000,6240900
2023-11-28,298.000000,300.000000,292.000000,294.000000,294.000000,5404400
2023-11-29,296.000000,298.000000,292.000000,294.000000,294.000000,6088000
2023-11-30,294.000000,300.000000,290.000000,298.000000,298.000000,11534900
2023-12-01,300.000000,300.000000,296.000000,296.000000,296.000000,3075500
2023-12-04,296.000000,302.000000,296.000000,300.000000,300.000000,7961000
2023-12-05,302.000000,312.000000,296.000000,296.000000,296.000000,21658400
2023-12-06,298.000000,302.000000,292.000000,296.000000,296.000000,13590800
2023-12-07,296.000000,298.000000,290.000000,290.000000,290.000000,6891100
2023-12-08,292.000000,292.000000,286.000000,286.000000,286.000000,8516800
2023-12-11,290.000000,290.000000,280.000000,282.000000,282.000000,7843200
2023-12-12,282.000000,286.000000,282.000000,284.000000,284.000000,4722300
2023-12-13,284.000000,290.000000,282.000000,288.000000,288.000000,5723700
2023-12-14,290.000000,294.000000,288.000000,294.000000,294.000000,4680800
2023-12-15,294.000000,296.000000,290.000000,292.000000,292.000000,1459200
2023-12-18,292.000000,296.000000,286.000000,292.000000,292.000000,5682800
2023-12-19,290.000000,304.000000,288.000000,298.000000,298.000000,10774000
2023-12-20,304.000000,324.000000,296.000000,322.000000,322.000000,53207300
2023-12-21,330.000000,382.000000,324.000000,336.000000,336.000000,500904500
2023-12-22,340.000000,354.000000,318.000000,318.000000,318.000000,101551400
2023-12-27,320.000000,342.000000,318.000000,338.000000,338.000000,80086600
2023-12-28,340.000000,344.000000,330.000000,330.000000,330.000000,36518400
2023-12-29,330.000000,332.000000,318.000000,320.000000,320.000000,25368400
2024-01-02,322.000000,350.000000,320.000000,340.000000,340.000000,86284800
2024-01-03,340.000000,346.000000,336.000000,338.000000,338.000000,21780600
2024-01-04,340.000000,358.000000,338.000000,354.000000,354.000000,90343800
